model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,mean_rating,distance_sum,rating_min,speed_max,user_ride_quality_median,deviation_normal_count,user_uniq,target_bin
Kia Rio X-line,economy,petrol,3.78,2015,76163,2021,4.737758620689656,12141310.405393252,0.1,180.85572556050948,0.023173661900778,174,170,0
VW Polo VI,economy,petrol,3.9,2015,78218,2021,4.48051724137931,18039092.838364355,0.0,187.8627335471007,12.306011474511768,174,174,0
Renault Sandero,standart,petrol,6.3,2012,23340,2017,4.7683908045977015,15883659.427897695,0.1,102.38285735291586,2.513318921197051,174,173,0
Mercedes-Benz GLC,business,petrol,4.04,2011,1263,2020,3.880919540229885,16518828.765338149,0.1,172.79323664031617,-5.029475721007603,174,170,0
Renault Sandero,standart,petrol,4.7,2012,26428,2017,4.181149425287356,13983174.664415987,0.1,203.46228927518268,-14.260456360691336,174,171,0
Skoda Rapid,economy,petrol,2.36,2013,42176,2018,4.3517816091954025,10855890.99269225,0.1,180.8862893763377,-18.22183170934943,174,173,0
Nissan Qashqai,standart,petrol,5.32,2012,24611,2014,4.392126436781609,8343280.331990728,0.1,174.98478561145714,12.321364132418193,174,167,1
Tesla Model 3,premium,electro,3.9,2017,116872,2019,4.7123563218390805,9793288.027071975,0.1,95.89073640916286,-8.939366273356725,174,139,0
Kia Sportage,standart,petrol,3.5,2014,56384,2017,4.507758620689655,16444046.8943617,0.32,101.79861494928544,-1.1646904508091973,174,170,0
Smart ForFour,economy,petrol,4.56,2013,41309,2018,4.376839080459771,6975742.479808934,0.1,125.25498324154968,3.769684186697205,174,173,0
VW Polo,economy,petrol,2.14,2012,22590,2018,4.675804597701149,11412281.133244712,0.1,164.22020969763824,-0.0679462649781854,174,173,0
VW Polo VI,economy,petrol,5.0,2011,919,2017,4.226379310344828,12512904.708291572,0.0,187.0,-7.708230228883274,174,174,0
Kia Rio,economy,petrol,3.92,2015,73646,2018,4.70051724137931,7203696.103685387,0.16,153.54720575175003,4.226565662313874,174,171,0
Skoda Rapid,economy,petrol,4.02,2016,104165,2019,4.57948275862069,9507010.723710977,0.1,158.0,-4.4414014730336095,174,172,0
Smart Coupe,economy,petrol,5.42,2017,117210,2019,4.6533908045977,15403820.892015131,0.1,164.0,2.397501307692271,174,170,0
VW Tiguan,economy,petrol,5.64,2016,109471,2019,4.642126436781609,12022996.443984438,0.13,126.51942289744318,-2.387404111066373,174,172,0
VW Tiguan,economy,petrol,5.16,2014,58987,2021,4.031896551724138,21195910.449065734,0.1,165.91195642713998,-3.346106649721203,174,170,0
Skoda Rapid,economy,petrol,3.54,2016,101495,2016,4.285747126436782,13990353.22720816,0.0,209.98283950882248,7.790726514575073,174,172,0
Smart ForTwo,economy,petrol,5.02,2016,108995,2018,4.387931034482759,9269709.531679643,0.1,101.83942030119768,15.121775245344482,174,171,0
Smart ForTwo,economy,petrol,5.08,2016,95935,2014,3.85867816091954,16657027.634673882,0.1,161.08277896296124,-3.309970275158099,174,171,0
Kia Rio X,economy,petrol,4.7,2013,41150,2021,4.456436781609195,16192147.011219418,0.1,120.02441407681069,8.841953404022632,174,172,0
Mercedes-Benz E200,business,petrol,5.32,2011,1299,2019,4.447126436781609,20427293.78814421,0.1,175.24442527517795,5.590684034097991,174,173,1
Nissan Qashqai,standart,petrol,4.62,2013,40025,2020,3.897471264367816,10833997.004137255,0.1,181.59713594116903,11.066627647760749,174,171,1
Smart ForTwo,economy,petrol,4.54,2016,115037,2019,4.130114942528736,10544424.640253255,0.1,186.1179531519749,-10.973928059976847,174,173,1
Renault Kaptur,standart,petrol,5.34,2013,51207,2017,4.571494252873563,9051244.23721845,0.1,156.0,-2.967860995185585,174,172,0
Mini Cooper,business,petrol,3.84,2014,58789,2022,4.074942528735632,14479292.854849895,0.1,195.2360632275796,1.8797224514865123,174,174,0
Kia Sportage,standart,petrol,2.7,2014,60017,2020,5.331206896551724,9255259.719569338,0.33,112.2626779670123,-3.6310703667818425,174,173,0
Kia Rio,economy,petrol,2.96,2014,65703,2016,4.217011494252874,16509060.789360844,0.1,177.13405127768635,0.3146103400208526,174,172,1
Nissan Qashqai,standart,petrol,5.42,2012,20276,2016,4.1498275862068965,19977026.737995997,0.1,197.5346514078148,-1.098368665386231,174,171,1
VW Tiguan,economy,petrol,4.9,2017,114576,2019,4.067528735632184,17296276.779062003,0.1,183.49692933404805,-13.493252665350669,174,172,0
Renault Sandero,standart,petrol,3.8,2011,3028,2021,3.916206896551724,15713161.187668815,0.0,185.339612336748,2.0236158803262634,174,172,0
Hyundai Solaris,economy,petrol,3.86,2014,58610,2017,4.660172413793103,7117682.887295571,0.1,101.33342383388566,0.1927822603920015,174,173,0
Kia Rio X,economy,petrol,4.36,2013,47354,2020,4.278965517241379,17252429.84524186,0.0,172.0510387003145,2.2423740138833965,174,172,0
Smart ForTwo,economy,petrol,3.18,2016,96361,2020,4.508448275862069,11815667.499680225,0.1,110.02402089612136,7.57269200332102,174,171,0
Smart ForTwo,economy,petrol,2.78,2015,93180,2017,3.944827586206896,17122201.070706572,0.1,193.7127461972635,13.34212544236376,174,172,1
VW Polo VI,economy,petrol,2.52,2011,5500,2018,4.046149425287356,3803221.1174842,0.1,192.4459711469768,-5.294573329014524,174,174,1
Skoda Rapid,economy,petrol,4.88,2017,137213,2019,4.67183908045977,20729106.63400685,0.1,169.08232539229763,-0.0925249141415598,174,172,0
VW Polo VI,economy,petrol,3.88,2012,25173,2018,5.319080459770115,10022071.901391407,0.36,122.63770448111772,0.3739324894484802,174,172,0
Hyundai Solaris,economy,petrol,4.1,2013,40281,2019,5.414597701149425,18427386.97187734,0.45,113.61741681708182,-1.168393328991379,174,173,0
Renault Kaptur,standart,petrol,5.4,2013,47719,2018,4.275977011494253,13575005.747928873,0.1,189.4908427961317,-9.268339531628085,174,174,1
Kia Sportage,standart,petrol,4.7,2015,84786,2021,4.044310344827586,17452445.64929375,0.1,181.5948050220017,-5.160855330887383,174,174,1
Kia Rio X,economy,petrol,4.5,2014,65491,2020,4.767241379310345,15549613.848861825,0.94,200.0,9.110570671628304,174,171,0
VW Tiguan,economy,petrol,5.1,2015,88451,2020,3.9442528735632174,22141976.486220133,0.1,168.47728484452395,-2.0340358987972462,174,171,0
Kia Rio X,economy,petrol,3.82,2012,18403,2018,3.995,11863044.501202293,0.1,199.4113740601043,9.385431346270703,174,171,1
Nissan Qashqai,standart,petrol,4.12,2011,251,2015,3.96396551724138,15297087.098631687,0.1,185.2793921491877,-2.1540850024406017,174,173,0
Hyundai Solaris,economy,petrol,5.26,2012,28216,2015,4.627988505747126,13246043.433951415,0.12,177.0,5.753195176212715,174,172,0
VW Tiguan,economy,petrol,4.48,2016,105035,2018,4.63,18542904.78911545,0.1,124.25252355038036,-12.471731054709885,174,170,0
Skoda Rapid,economy,petrol,5.56,2016,94354,2021,3.972298850574712,11906123.224730974,0.1,197.01095885357128,0.1620682596615098,174,173,1
Kia Rio,economy,petrol,3.62,2014,58269,2019,4.1194252873563215,3910275.289052949,0.0,176.29222859928723,-2.613718872124774,174,173,0
Kia Rio X,economy,petrol,4.58,2011,4083,2016,4.167356321839081,17683875.318707902,0.1,191.0884826422516,-8.925689427116065,174,174,0
Skoda Rapid,economy,petrol,3.34,2016,93681,2014,4.655459770114942,13306107.40431244,0.0,188.9783976993745,-30.08311093700561,174,173,0
Smart ForFour,economy,petrol,4.98,2016,106858,2014,4.099540229885058,11587433.98139478,0.1,198.48929834405112,-3.420689876629966,174,173,1
Renault Kaptur,standart,petrol,4.56,2012,22533,2020,4.839252873563218,10775576.939556591,0.21,174.22778926826246,3.814616537920873,174,174,0
Kia Rio X,economy,petrol,5.7,2013,48487,2019,4.926149425287356,13327345.334956426,0.0,173.3784470017017,-10.293346620683982,174,172,0
Renault Kaptur,standart,petrol,5.8,2012,21154,2018,4.51735632183908,15308274.793739855,0.1,106.10855165450626,-10.987327473188447,174,172,0
Skoda Rapid,economy,petrol,3.46,2017,111468,2017,3.8498275862068967,10140081.849360518,0.1,188.93888746580387,4.206150783905999,174,173,0
Hyundai Solaris,economy,petrol,3.22,2014,55735,2016,4.567528735632184,11506386.484044436,0.1,190.0,4.5492722118134985,174,172,0
VW Polo,economy,petrol,4.54,2012,19239,2018,4.005057471264368,8906595.130459595,0.1,176.41196496069557,5.703812487077718,174,173,0
Kia Rio X,economy,petrol,5.12,2012,19918,2015,3.967126436781609,14842370.708165454,0.1,182.81232444321336,-14.58053238289222,174,173,1
Renault Sandero,standart,petrol,4.68,2014,59221,2015,4.11235632183908,9660830.539986135,0.1,177.16996506616007,-1.772681564452734,174,172,0
Renault Sandero,standart,petrol,3.36,2011,6019,2021,5.20448275862069,14720220.762335733,0.1,123.619141685415,2.932695571347707,174,172,0
Kia Sportage,standart,petrol,3.72,2015,75739,2016,5.402298850574713,8515352.661026279,0.85,106.6379771119483,-3.3303316707070607,174,174,0
Nissan Qashqai,standart,petrol,5.18,2013,44612,2016,4.254425287356321,6001695.738261409,0.1,181.0461654805773,0.0830455887692442,174,173,1
Kia Rio X,economy,petrol,4.62,2014,56626,2018,4.097758620689655,13709487.642575145,0.1,182.2791399577897,-3.9481719282411754,174,173,1
Smart ForTwo,economy,petrol,5.84,2013,38431,2020,4.256264367816092,10615759.486011952,0.0,184.88662278210808,9.394843121739296,174,168,0
VW Polo VI,economy,petrol,4.62,2015,87418,2019,3.985344827586207,12960569.015091175,0.1,179.75906074515763,-27.86278653178581,174,173,0
Smart Coupe,economy,petrol,4.86,2014,63075,2020,4.856896551724138,18600471.591976333,0.22,196.6015272676526,11.520849086503771,174,169,0
VW Polo,economy,petrol,4.52,2011,8768,2020,4.346206896551724,15341783.419372523,0.0,198.5944433202849,-15.621428849489163,174,173,0
Smart ForTwo,economy,petrol,4.46,2013,43385,2016,4.795919540229885,19991985.60114994,0.1,181.0690689368081,0.8258253823751867,174,172,0
Volkswagen ID.4 ,premium,electro,5.8,2014,52932,2021,4.793275862068965,9115999.583306326,0.1,171.0,3.5266757107507765,174,143,0
Kia Sportage,standart,petrol,4.14,2012,23529,2015,3.9530459770114943,13801992.470755732,0.1,191.02478969031603,6.532807001568745,174,173,0
VW Polo,economy,petrol,5.34,2013,38078,2019,4.567471264367816,14536924.184936164,0.1,119.0,5.215981038404969,174,172,0
Kia Sportage,standart,petrol,4.38,2014,57212,2020,4.288045977011494,13938106.405475862,0.1,191.9809966070908,0.6159695238444101,174,172,0
Hyundai Solaris,economy,petrol,5.78,2015,85556,2020,5.322011494252873,4148047.5482452274,0.1,136.88354743464512,-3.99813266447695,174,172,0
Kia Rio,economy,petrol,4.42,2013,43498,2018,4.392011494252873,18596015.721761808,0.1,105.05018426587966,6.677617869679484,174,174,0
Smart ForTwo,economy,petrol,5.38,2014,61307,2021,4.191091954022989,11204686.702910718,0.0,200.0,26.99148600015039,174,174,0
Hyundai Solaris,economy,petrol,3.68,2015,76475,2019,4.2748850574712645,12828868.5356765,0.1,191.66632929664712,-13.757766989686228,174,170,1
Smart ForTwo,economy,petrol,3.9,2015,85592,2016,4.645114942528736,19986642.190882027,0.26,146.07247806839624,-9.448214805800603,174,173,0
Kia Rio X-line,economy,petrol,3.96,2015,82062,2014,4.294655172413793,18575394.57881134,0.0,180.94447330813827,-0.7311708167486337,174,173,0
VW Tiguan,economy,petrol,4.04,2013,40885,2022,4.669022988505747,8780774.256559843,0.1,137.91845786696285,-2.7232495237792778,174,173,0
Hyundai Solaris,economy,petrol,5.16,2013,38432,2015,4.761091954022988,9534394.12690729,0.65,173.0,0.9049990580855888,174,172,0
Kia Rio,economy,petrol,3.44,2013,47064,2020,4.368850574712644,8652657.216118712,0.1,131.8727997742751,-2.816224419981758,174,172,0
