iter	P4Metric	Logloss
0	0	0.6384616065
1	0.06284734796	0.6070735495
2	0.0323502089	0.5642283207
3	0	0.5354756871
4	0.016383544	0.5027883201
5	0.016383544	0.4742639274
6	0.016383544	0.4576085121
7	0.016383544	0.4245551656
8	0.016383544	0.4012179858
9	0.016383544	0.3815852856
10	0.016383544	0.3669749925
11	0.016383544	0.3570849289
12	0.016383544	0.345776043
13	0.016383544	0.3397173173
14	0.0323502089	0.3238997088
15	0.016383544	0.3208711685
16	0.016383544	0.3147593257
17	0.016383544	0.3043002739
18	0.016383544	0.2937704444
19	0.016383544	0.2885432755
20	0.016383544	0.280529861
21	0.0323502089	0.2745195501
22	0.0323502089	0.2696055534
23	0.04791594108	0.2656567098
24	0.06309588404	0.2609753911
25	0.06309588404	0.256670168
26	0.09199973612	0.2519042699
27	0.1326967805	0.248196069
28	0.1193334281	0.245411427
29	0.1825535022	0.242382554
30	0.2053919605	0.2397987879
31	0.3335317417	0.2362566834
32	0.3771161705	0.2322484314
33	0.4124291933	0.2304932893
34	0.4113119286	0.2285431857
35	0.4511846748	0.2271785052
36	0.4813585673	0.2264310606
37	0.5043997486	0.2234263718
38	0.5249375279	0.2209917057
39	0.5261564106	0.2207472083
40	0.5154273255	0.2196768584
41	0.5480509415	0.2177495112
42	0.5492797503	0.2169316827
43	0.5811495052	0.2154231693
44	0.5913455222	0.2143697287
45	0.6013421477	0.2126316315
46	0.6111458645	0.2116146991
47	0.6235734059	0.2102348993
48	0.6222933489	0.2093018916
49	0.6446089319	0.2080265907
50	0.6618211863	0.2069292174
51	0.6641236518	0.2063048437
52	0.6582028843	0.2057451184
53	0.6698958855	0.2045264548
54	0.6751386805	0.2032540608
55	0.6878631437	0.2019883499
56	0.6923041243	0.2013926444
57	0.6929850996	0.2008867535
58	0.6973602747	0.2001962007
59	0.7090800195	0.1995879363
60	0.7060339603	0.1989269694
61	0.7113537535	0.1976647007
62	0.7283744586	0.1967403416
63	0.735825481	0.1953969538
64	0.735825481	0.1949456693
65	0.7330709338	0.1946028685
66	0.7370585432	0.1940184798
67	0.7318414617	0.1934565505
68	0.7373271889	0.1929909721
69	0.7373271889	0.1929536536
70	0.7439452069	0.192119273
71	0.7466049624	0.1916376565
72	0.7506302462	0.1910848081
73	0.7467926001	0.1903022208
74	0.7557939336	0.1893414464
75	0.7545729883	0.1885168738
76	0.7546937085	0.1875105814
77	0.7571229685	0.1869215309
78	0.7634321197	0.1864318309
79	0.7634321197	0.1862695206
80	0.767113468	0.1856180871
81	0.7683470302	0.1851013184
82	0.7707746613	0.1844735934
83	0.777941471	0.1840321142
84	0.7802925777	0.1837944932
85	0.7802925777	0.1834214191
86	0.7895145012	0.1828233332
87	0.7917755536	0.1825947301
88	0.7950462278	0.1821288282
89	0.7972569368	0.1814688355
90	0.8006489264	0.1812661756
91	0.8018502944	0.1809176777
92	0.7950462278	0.1803131547
93	0.8059355861	0.1794559392
94	0.8028256577	0.1789518651
95	0.8083291648	0.178348494
96	0.8095310829	0.1777258154
97	0.8128621432	0.1770690525
98	0.8128621432	0.1770107965
99	0.8128621432	0.1770100491
100	0.8116577981	0.17664162
101	0.8116577981	0.176396827
102	0.8095310829	0.1760828613
103	0.8125689678	0.1757103705
104	0.8113724449	0.1753643812
105	0.8125689678	0.1751576647
106	0.8143614008	0.1745803776
107	0.8134701148	0.1743265857
108	0.8110891433	0.1738614911
109	0.813173569	0.1733217988
110	0.8196725651	0.1723031348
111	0.8200103146	0.1718185462
112	0.8240966481	0.171534042
113	0.8252947163	0.1712621275
114	0.8252947163	0.1707152094
115	0.8297189536	0.1701685029
116	0.8313126909	0.169636316
117	0.8313126909	0.1693956564
118	0.8383996175	0.1687420412
119	0.8383996175	0.1684249094
120	0.8403353771	0.1680746817
121	0.8422578204	0.1677266452
122	0.8470601859	0.1669433225
123	0.8422578204	0.1663692974
124	0.8477604485	0.1658359962
125	0.8477604485	0.1658041396
126	0.8484533618	0.1655951448
127	0.8472567685	0.1651946458
128	0.8484533618	0.1645298996
129	0.8503344442	0.1642289674
130	0.8503344442	0.1642119277
131	0.8503344442	0.1638340798
132	0.8510086123	0.1634423267
133	0.8510086123	0.1630568146
134	0.8547102677	0.1626778559
135	0.8528656393	0.1625323428
136	0.8528656393	0.1621498788
137	0.8582952407	0.1617189335
138	0.8589270144	0.1614660298
139	0.8601239527	0.1609209312
140	0.863139413	0.1604669764
141	0.8619405431	0.1602515795
142	0.8607448445	0.1598455736
143	0.8607448445	0.1593583774
144	0.8595523042	0.1590001914
145	0.8595523042	0.1587705674
146	0.8595523042	0.1587700012
147	0.8607448445	0.1586987109
148	0.8607448445	0.1585314887
149	0.8619405431	0.1578762818
150	0.8649427658	0.1577346784
151	0.8655467181	0.157301177
152	0.8655467181	0.1573006886
153	0.8667551792	0.1568604985
154	0.8673475114	0.1564719026
155	0.8673475114	0.1561076485
156	0.8673475114	0.1558975465
157	0.8661435473	0.1557754407
158	0.8649427658	0.1556544007
159	0.8673475114	0.1552273986
160	0.8673475114	0.1550220766
161	0.8673475114	0.1546100766
162	0.8691364543	0.1541834532
163	0.8726793395	0.1540482728
164	0.8726793395	0.1538598632
165	0.8709136851	0.1535046033
166	0.8709136851	0.1525539046
167	0.8733259569	0.1522268326
168	0.8733259569	0.1520670821
169	0.8721182315	0.1517170265
170	0.8738825751	0.1514909727
