iter	Passed	Remaining
0	59	59044
1	62	30984
2	64	21535
3	67	16791
4	70	13932
5	72	12027
6	75	10699
7	78	9698
8	80	8867
9	83	8245
10	85	7714
11	88	7292
12	91	6936
13	93	6572
14	96	6304
15	97	6004
16	100	5786
17	102	5581
18	104	5417
19	107	5249
20	109	5113
21	112	4984
22	114	4865
23	116	4755
24	119	4657
25	121	4566
26	126	4545
27	128	4470
28	131	4393
29	133	4329
30	136	4266
31	139	4206
32	142	4170
33	144	4112
34	147	4064
35	149	4013
36	152	3966
37	154	3916
38	157	3876
39	159	3817
40	161	3767
41	163	3726
42	165	3687
43	168	3653
44	170	3618
45	172	3586
46	175	3558
47	177	3529
48	180	3503
49	182	3473
50	185	3443
51	187	3416
52	189	3392
53	192	3368
54	194	3345
55	197	3329
56	199	3306
57	202	3284
58	204	3261
59	206	3242
60	209	3223
61	211	3202
62	214	3183
63	216	3165
64	218	3146
65	221	3132
66	224	3121
67	227	3116
68	230	3112
69	233	3100
70	236	3098
71	239	3083
72	241	3067
73	244	3057
74	246	3045
75	249	3034
76	251	3020
77	254	3007
78	256	2995
79	258	2977
80	261	2965
81	263	2955
82	266	2943
83	268	2932
84	271	2921
85	273	2911
86	276	2900
87	278	2889
88	281	2876
89	283	2866
90	286	2857
91	288	2847
92	291	2838
93	293	2827
94	295	2818
95	298	2809
96	300	2800
97	303	2791
98	305	2781
99	307	2763
100	309	2753
101	312	2748
102	314	2740
103	317	2732
104	319	2724
105	322	2718
106	324	2709
107	327	2701
108	329	2691
109	331	2683
110	334	2675
111	336	2667
112	339	2662
113	341	2655
114	344	2647
115	346	2640
116	348	2632
117	350	2622
118	353	2615
119	355	2608
120	358	2602
121	360	2596
122	363	2589
123	365	2583
124	368	2578
125	370	2567
126	372	2561
127	375	2555
128	377	2547
129	379	2541
130	381	2533
131	384	2527
132	386	2520
133	389	2514
134	391	2510
135	394	2505
136	397	2501
137	399	2495
138	401	2488
139	404	2484
140	406	2478
141	409	2472
142	411	2466
143	413	2460
144	416	2455
145	418	2450
146	420	2439
147	422	2434
148	425	2429
149	428	2426
150	430	2420
151	432	2414
152	435	2410
153	437	2404
154	440	2399
155	442	2395
156	445	2390
157	448	2387
158	450	2383
159	452	2376
160	455	2372
161	458	2369
162	460	2365
163	462	2359
164	465	2355
165	467	2350
166	470	2345
167	472	2340
168	475	2335
169	477	2330
170	479	2325
171	482	2321
172	484	2316
173	487	2312
174	489	2307
175	491	2302
176	494	2296
177	496	2292
178	498	2288
179	501	2283
180	503	2279
181	506	2275
182	509	2273
183	511	2269
184	513	2264
185	516	2259
186	518	2255
187	521	2252
188	523	2248
189	526	2243
190	528	2239
191	531	2234
192	533	2231
193	535	2226
194	538	2224
195	541	2220
196	543	2215
197	545	2211
198	548	2206
199	550	2202
200	553	2200
201	555	2196
202	558	2192
203	561	2189
204	563	2185
205	566	2181
206	568	2179
207	570	2172
208	573	2169
209	575	2165
210	577	2160
211	579	2155
212	582	2151
213	584	2147
214	587	2144
215	589	2140
216	592	2137
217	594	2132
218	597	2129
219	599	2125
220	601	2121
221	604	2118
222	606	2114
223	609	2110
224	611	2106
225	615	2108
226	618	2104
227	620	2101
228	623	2097
229	625	2093
230	627	2090
231	630	2086
232	632	2082
233	634	2078
234	637	2074
235	639	2071
236	642	2067
237	644	2063
238	646	2060
239	649	2056
240	652	2054
241	654	2050
242	656	2046
243	660	2045
244	662	2041
245	665	2038
246	667	2034
247	670	2031
248	672	2028
249	675	2025
250	677	2021
251	679	2017
252	682	2015
253	685	2012
254	687	2009
255	690	2006
256	693	2004
257	695	2000
258	697	1996
259	700	1993
260	702	1990
261	705	1986
262	707	1982
263	709	1978
264	713	1979
265	716	1976
266	718	1972
267	721	1969
268	723	1966
269	725	1962
270	728	1958
271	730	1955
272	733	1952
273	735	1948
274	737	1945
275	740	1941
276	742	1938
277	744	1934
278	747	1931
