signal_id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,label
3,-0.177789,-0.08187365,-0.09613079,-0.09943559,-0.0988675,-0.1054275,-0.08347161,-0.07400023,-0.06527484,-0.06169107,-0.05540313,-0.02745711,0.02146974,0.08832644,0.1129589,0.09344651,0.06391297,0.04253147,0.096395,0.2195572,0.3040285,0.2605609,0.08038035,-0.1435987,-0.1920482,0.04612717,0.297404,0.3139481,0.1640056,-0.05366086,-0.2149793,-0.2207077,-0.1883274,-0.218604,-0.2437696,-0.2580289,-0.2668709,-0.2050179,-0.1624406,-0.180579,-0.1429546,-0.03474693,0.1291289,0.3042896,0.3824792,0.3199857,0.2473686,0.2661839,0.2454555,0.2176247,0.2238977,0.09712686,-0.1803652,-0.4811195,-0.4810009,-0.249051,-0.1581631,-0.02106318,0.003184696,-0.1447674,-0.05137794,-0.08115241,-0.1898595,-0.1045996,-0.1196707,-0.03117213,0.04811996,-0.0143408,0.0478949,0.06054309,0.09876702,0.1403922,0.0607348,0.0636379,0.09030433,0.1994886,0.3576216,0.3216795,0.128315,-0.06271228,-0.02146227,0.1719349,0.2719598,0.2517338,0.08696133,-0.1159826,-0.2281464,-0.2458939,-0.2478152,-0.3048987,-0.3059475,-0.2682326,-0.2513559,-0.2026465,-0.1948943,-0.1730388,-0.07542059,0.0422601,0.2311566,0.3833706,0.3975569,0.3879895,0.40396,0.4404635,0.4200717,0.2355537,-0.037186,-0.1870026,-0.211436,-0.3096238,-0.3066521,-0.09401415,-0.02678637,-0.09034605,-0.1387694,-0.1954374,-0.1611515,-0.1267719,-0.1121896,-0.06826528,-0.05932677,-0.01373865,0.009358992,0.009644764,0.07016313,0.1084433,0.1276384,0.09916918,0
4,0.01033651,0.01073277,0.1176067,0.2595895,0.3395887,0.3292965,0.2812599,0.1156579,-0.1729546,-0.247284,-0.04623535,0.1806063,0.3391874,0.3541069,0.1787066,-0.03731444,-0.15401,-0.1807141,-0.1960976,-0.2308562,-0.2532812,-0.3080392,-0.3630835,-0.330793,-0.2867855,-0.2098859,-0.08204144,0.02476024,0.1814976,0.3490131,0.4062215,0.3659604,0.3606532,0.5016599,0.5601365,0.2374105,-0.3093009,-0.514757,-0.1853321,0.1018367,0.05408659,-0.06366592,-0.1929445,-0.3101794,-0.3350471,-0.2668546,-0.09102568,0.02306914,-0.02155651,-0.04741263,-0.04849544,-0.08486942,-0.04498849,0.02423369,0.005606929,0.003977225,0.02620083,-0.01705144,-0.02507428,0.03311034,0.15271,0.336142,0.3717389,0.1735426,-0.08632896,-0.1700249,0.02479333,0.2577168,0.3472041,0.3317949,0.1521184,-0.1122326,-0.1971854,-0.175434,-0.2347536,-0.2641181,-0.2725199,-0.3329793,-0.3348642,-0.3014451,-0.244582,-0.1505341,-0.1147713,-0.07748602,0.04962779,0.231034,0.355557,0.3465469,0.3045456,0.3173829,0.4030575,0.4820401,0.3204448,-0.08814549,-0.3834989,-0.2963319,-0.0469832,0.04294292,0.01779194,-0.0708753,-0.2031192,-0.2722309,-0.2804794,-0.1909806,-0.0925685,-0.07780493,-0.03406751,-0.06938453,-0.1506745,-0.08180581,-0.01433842,-0.02089153,-0.0133242,0.002793272,0.04701275,0.1033894,0.1182271,0.1440464,0.2521858,0.3701348,0.3440972,0.1589274,-0.1021451,-0.3011409,-0.1486494,0.2636308,0.4804404,0.4203266,0
5,-0.221846,-0.2477727,-0.1878467,-0.181616,-0.1087985,-0.09947992,-0.0832438,-0.05494393,-0.1009189,-0.06773535,-0.03317085,0.02053388,0.09820269,0.1004468,0.1176538,0.13005,0.176428,0.2033562,0.08238299,-0.005927177,0.01887774,0.1054987,0.2832794,0.4966817,0.5113848,0.295341,0.1092084,-0.1087853,-0.3600026,-0.385937,-0.3163969,-0.3058717,-0.2715522,-0.2144704,-0.2103545,-0.2294016,-0.2166463,-0.2215064,-0.1797933,-0.06013946,0.08449463,0.249275,0.3111922,0.3021293,0.3597912,0.3940294,0.3493716,0.3159585,0.2633016,0.07131144,-0.1436807,-0.1988723,-0.1295025,-0.0717988,-0.0865177,-0.0924897,-0.1111154,-0.1834167,-0.2180109,-0.2358207,-0.2187645,-0.1452963,-0.105988,-0.08624185,-0.09242996,-0.1222126,-0.1220834,-0.1052125,-0.01674821,0.1401832,0.2149378,0.1510278,0.1090127,0.2076786,0.2448274,0.098014,-0.04399064,-0.03688896,0.1073743,0.3272962,0.5160716,0.4775928,0.2786916,0.1200242,-0.1033776,-0.3333003,-0.4602912,-0.4633372,-0.3155781,-0.2817,-0.2791865,-0.2041771,-0.2246878,-0.1631819,-0.1298712,-0.1141382,0.07313809,0.1466513,0.187071,0.2868486,0.2618086,0.2260116,0.2431532,0.2231463,0.1920851,0.2917355,0.3454388,0.07678785,-0.2665311,-0.3270325,-0.1604818,-0.06462718,-0.05544091,-0.07441715,-0.1745086,-0.2291793,-0.2597234,-0.2418282,-0.1231621,-0.08608853,-0.08039352,-0.0896251,-0.1229496,-0.07427306,-0.0185949,0.05475245,0.09754397,0.06783657,0
6,0.4118351,0.5138233,0.5588024,0.3802445,0.2108297,0.1740934,0.1027721,-0.05193341,-0.2371795,-0.2454909,-0.1560166,-0.1145167,-0.04249712,-0.06213993,-0.157869,-0.2003558,-0.2502118,-0.2464783,-0.1758636,-0.1305371,-0.08227095,-0.07418618,-0.09661595,-0.07429469,-0.05578575,0.01323128,0.1134432,0.1085726,0.03109339,0.003024164,0.1687618,0.359044,0.2591462,0.01883007,-0.1302481,-0.1290962,-0.006339936,0.1319286,0.372699,0.5596137,0.4536872,0.3287831,0.1063325,-0.266063,-0.3580144,-0.3747613,-0.4204012,-0.2900455,-0.2701655,-0.3101682,-0.2872234,-0.3187824,-0.2492339,-0.1292089,-0.02746509,0.1495627,0.312352,0.4029887,0.426318,0.4266746,0.3341659,0.1616746,0.140037,0.03954554,-0.1879757,-0.1378625,-0.03526598,-0.07230888,-0.05747398,-0.1166877,-0.2227673,-0.2453223,-0.2505818,-0.2081276,-0.164216,-0.1419685,-0.1103915,-0.1189225,-0.1190906,-0.1131626,-0.06817159,0.0427555,0.07525256,0.03880499,-0.008365215,-0.04211676,0.009202931,0.08284705,0.1211514,0.1370845,0.02980803,-0.1353826,-0.06183023,0.161348,0.3855915,0.6296271,0.5864007,0.3402535,0.1044091,-0.2554017,-0.4432189,-0.4346019,-0.428907,-0.3267221,-0.2876692,-0.2718573,-0.2285509,-0.2336498,-0.1411069,-0.04639576,0.04079974,0.1862034,0.2834462,0.3378278,0.3884613,0.4714636,0.4414685,0.2856457,0.1929306,0.1138563,0.01448259,-0.1120941,-0.1336998,-0.02410373,-0.04259031,-0.06283782,-0.07813738,-0.1944783,0
7,0.2217696,-0.02686271,-0.2494472,-0.340728,-0.2886759,-0.2073641,-0.155768,-0.09176828,-0.1190122,-0.1494731,-0.1108251,-0.1294412,-0.1234105,-0.09994963,-0.0917981,-0.02857248,-0.0198877,-0.02709679,0.02313917,0.05662127,0.1019609,0.1145788,0.07249878,0.07149359,0.1490832,0.3036387,0.3808301,0.2470055,0.02456398,-0.1249404,-0.1075018,0.06068321,0.2220072,0.2469094,0.1422466,-0.004898813,-0.1292014,-0.1847895,-0.2034571,-0.2784818,-0.319511,-0.2877395,-0.2959445,-0.2650616,-0.2033722,-0.1901363,-0.1205769,-0.008328231,0.1061732,0.2319555,0.3202202,0.3538159,0.3317602,0.3174964,0.3232755,0.2986168,0.2461672,0.0883857,-0.1603228,-0.3046358,-0.2894534,-0.2328457,-0.1849969,-0.1330005,-0.1220369,-0.145996,-0.1504334,-0.1270774,-0.09721097,-0.09601501,-0.07888474,-0.03583231,-0.04028788,-0.03787961,0.01102076,0.03953113,0.06195137,0.1185698,0.147529,0.09932241,0.07797604,0.1530199,0.222372,0.2507366,0.2766651,0.1890415,-0.04752299,-0.1603191,-0.01942145,0.1626756,0.2592706,0.2509422,0.1038066,-0.08305762,-0.1728275,-0.1881743,-0.2348738,-0.283564,-0.282516,-0.2874076,-0.258525,-0.1931846,-0.1755501,-0.149405,-0.07898098,0.01859486,0.1357893,0.2291641,0.2806518,0.2745459,0.2668075,0.2989802,0.3148708,0.3128129,0.255459,0.06778337,-0.2077504,-0.3468549,-0.2697807,-0.2165489,-0.167078,-0.07749124,-0.1154386,-0.1268384,-0.08732323,-0.1157339,-0.1029952,-0.09865713,0
11,-0.2056145,-0.2610236,-0.2721646,-0.2724641,-0.2270301,-0.1344477,-0.1045137,-0.1205172,-0.1015315,-0.06594567,0.009708907,0.1162343,0.1546912,0.1604626,0.2517474,0.4201239,0.489527,0.358909,0.1957826,0.05510343,-0.1544229,-0.2750273,-0.2371219,-0.1914711,-0.1106156,0.001430367,0.03946333,0.02561059,-0.0504761,-0.1480617,-0.1516699,-0.1286663,-0.1443562,-0.1295269,-0.07692733,-0.04335662,-0.04212192,-0.05078509,-0.04944468,-0.04395384,-0.04254119,-0.02496213,-0.009727775,-0.009720773,0.01219709,0.03821659,0.05387214,0.1025927,0.1890472,0.2397797,0.2434066,0.2774535,0.2782622,0.1887117,0.08799299,0.01935416,0.05246647,0.1161103,0.08440016,0.04786617,-0.008039362,-0.0721101,-0.0865656,-0.1646062,-0.2351822,-0.279207,-0.3589646,-0.3597464,-0.3439391,-0.3277449,-0.2372263,-0.1688369,-0.1469217,-0.113193,0.02750697,0.2097585,0.253533,0.2958534,0.442088,0.5471278,0.5549276,0.4086709,0.1050771,-0.1335727,-0.2392118,-0.2975269,-0.2537434,-0.1504229,-0.06078524,0.03748101,0.05041756,-0.06614912,-0.2127235,-0.2475353,-0.1433972,-0.07025908,-0.06838436,-0.06750313,-0.07282294,-0.08532181,-0.1067069,-0.08403219,-0.03552929,-0.03439515,-0.002303416,0.06889934,0.1015224,0.1006077,0.1227381,0.2123038,0.2942916,0.3173588,0.3236335,0.2723114,0.1282212,0.003371148,-0.000325342,0.07110295,0.1360629,0.1323979,0.04835058,-0.1052212,-0.2846245,-0.3114548,-0.259601,-0.3213762,-0.3363911,-0.2973696,0
12,0.1218649,0.09191419,0.03769401,-0.09518542,-0.2467809,-0.2974287,-0.3134587,-0.321878,-0.2357471,-0.187549,-0.1998318,-0.1473815,-0.1535247,-0.1570171,-0.06921367,-0.002539939,0.09652341,0.1948959,0.2270183,0.2502245,0.3912563,0.5641989,0.3547771,-0.006759152,-0.09808501,-0.1205394,-0.09895577,0.006435981,0.1247575,0.214908,0.06201916,-0.1885724,-0.2558299,-0.2333151,-0.1931437,-0.1691767,-0.1492437,-0.1014037,-0.1039107,-0.1107696,-0.1061347,-0.1227556,-0.08459982,-0.02445499,0.00259886,0.01432559,0.01780807,0.03736178,0.1004486,0.2106031,0.2886745,0.293053,0.313223,0.3260933,0.2309015,0.1058678,0.06304349,0.06887522,0.07191181,0.08244103,0.08259455,-0.0006446481,-0.1612332,-0.2899438,-0.3264956,-0.2979897,-0.2609755,-0.2382842,-0.2023212,-0.1405065,-0.1044058,-0.1493237,-0.1916079,-0.1434966,-0.07121829,-0.001293223,0.08238363,0.1938413,0.3118045,0.3391689,0.3985113,0.4598214,0.2263261,-0.07213456,-0.1686712,-0.1815906,-0.0649667,0.1322621,0.1720908,0.02407077,-0.1509984,-0.2363369,-0.2477177,-0.2120685,-0.1596482,-0.1068972,-0.08385922,-0.1008424,-0.09531431,-0.1015938,-0.09252374,-0.03427549,-0.02153648,-0.01592536,9.905054e-07,0.003046099,0.03674857,0.09719746,0.1959349,0.2523577,0.2285624,0.2499291,0.2768572,0.2154303,0.1325962,0.1076934,0.1256583,0.1293846,0.1141417,0.09284441,0.05353289,-0.02103501,-0.148241,-0.2686901,-0.2865653,-0.2550943,-0.2483734,-0.2188993,0
13,0.01915021,-0.1692596,-0.2835331,-0.3154156,-0.2758785,-0.223019,-0.1599792,-0.1132081,-0.1332613,-0.1268355,-0.1172444,-0.114748,-0.03480356,0.05586059,0.1412244,0.1949845,0.1655002,0.1379293,0.1477755,0.1808934,0.1863261,0.06280468,-0.1031901,-0.07315295,0.1453177,0.3565812,0.4231587,0.2341496,-0.04583012,-0.2209754,-0.338764,-0.3381277,-0.2844075,-0.2611011,-0.2063638,-0.2191046,-0.2492927,-0.2300008,-0.1915165,-0.08018829,0.01163224,0.1316415,0.3051402,0.2813408,0.2087659,0.2987695,0.3454602,0.3200115,0.1457776,-0.2119138,-0.2537478,-0.05053064,0.01028599,0.09514691,0.08035316,-0.02829889,-0.02495223,-0.1252623,-0.2681423,-0.317059,-0.2627856,-0.1346432,-0.1129259,-0.0997975,-0.1005311,-0.1510366,-0.1137218,-0.1110292,-0.08388751,0.04530305,0.1620337,0.2512081,0.2533565,0.2468989,0.2648,0.2505688,0.2131693,0.03927603,-0.1277094,-0.07534126,0.1035335,0.293403,0.3497573,0.212359,0.0208521,-0.1423315,-0.2788675,-0.3102317,-0.259044,-0.2389888,-0.2018233,-0.1902839,-0.2500323,-0.2607648,-0.1963809,-0.06495065,0.09449767,0.2276702,0.2922552,0.2956157,0.3520997,0.3637122,0.269643,0.1332635,-0.1019978,-0.1815224,-0.04785096,0.007913288,0.10849,0.1781456,0.06386326,-0.02879861,-0.1926753,-0.3233113,-0.224706,-0.1692655,-0.1278204,-0.05333858,-0.1092,-0.1420773,-0.129931,-0.1497028,-0.1215117,-0.07253577,0.01590948,0.1491271,0.2282375,0.2459622,1
14,-0.22193,-0.1742099,-0.08940496,0.03895604,0.08895929,0.1593367,0.1399998,0.07269356,0.1599344,0.2149714,0.212023,0.2111046,0.09968376,-0.07392722,-0.1645741,-0.07329098,0.04650471,0.03557434,0.003492684,-0.05978308,-0.1331498,-0.1248022,-0.1132986,-0.08223963,-0.0206192,0.02107212,0.03916491,0.009625569,-0.01642535,-0.0356446,-0.04959298,-0.01330182,0.02490431,0.06587487,0.08655298,0.074204,0.09406541,0.1083928,0.1217219,0.1656659,0.2325781,0.3021973,0.2538097,0.1497833,0.09950174,0.004082253,-0.01557594,0.06866955,0.03946156,0.02202924,0.02396082,-0.07117559,-0.09490685,-0.1096256,-0.1619172,-0.1626319,-0.1854355,-0.1898408,-0.1852784,-0.1974861,-0.1910759,-0.2093233,-0.1962497,-0.1465387,-0.06292561,0.04544556,0.09778612,0.1534214,0.1649655,0.1317502,0.1835869,0.201674,0.1613942,0.1420982,0.08296821,-0.01183089,-0.1043533,-0.09221837,0.01542578,0.03938668,0.01342881,-0.03404127,-0.1014649,-0.08977212,-0.07679119,-0.08732706,-0.07341058,-0.06238292,-0.03418917,-0.02450131,-0.03335539,-0.02423855,-0.03121101,-0.05367415,-0.07674012,-0.07257454,-0.03314414,0.02700649,0.09005703,0.1036705,0.1006616,0.1060034,0.09022328,0.1292891,0.229411,0.291045,0.28586,0.2232817,0.1416783,0.06096826,0.009428118,0.03073938,0.03867183,0.007634101,0.006563502,0.008457052,0.001435134,-0.02646708,-0.09773834,-0.166587,-0.2066333,-0.2145551,-0.1938584,-0.1772418,-0.1863644,-0.1993931,-0.1981864,-0.1854171,0
16,0.09204571,0.1675178,0.2154129,0.1349363,0.05052912,0.01579288,-0.03989195,-0.09106219,-0.1703551,-0.2842113,-0.3103995,-0.2480506,-0.1804421,-0.1498894,-0.170233,-0.2004339,-0.1772899,-0.08197064,0.08507274,0.2507899,0.2999332,0.2920915,0.3109127,0.3746792,0.4807706,0.4458072,0.1413607,-0.2985179,-0.5136171,-0.3172245,-0.02822232,0.1825636,0.2396021,0.06756881,-0.08940697,-0.313461,-0.4102674,-0.1084852,0.0183122,0.006031536,0.02943826,-0.09965337,-0.08724642,-0.06212848,-0.06255992,0.01668497,-0.03024411,-0.006264575,0.01408341,-0.01258011,0.0237147,-0.005933136,0.1038754,0.2749861,0.2957894,0.1744968,-0.05313383,-0.1113916,-0.0002774343,0.2032892,0.4397497,0.4198287,0.1940026,-0.01579132,-0.1206641,-0.1425969,-0.1769948,-0.197955,-0.2067664,-0.2595122,-0.3113906,-0.3096444,-0.2669706,-0.1940681,-0.1245275,-0.09142367,-0.04732976,0.06414229,0.2449887,0.3375504,0.285445,0.2894015,0.3372197,0.3887109,0.467914,0.3145567,-0.08513445,-0.3514592,-0.2762269,-0.03002074,0.07793976,0.03175706,-0.09051987,-0.2426253,-0.2824907,-0.2604992,-0.225816,-0.09412792,0.06119424,0.04344916,-0.1047589,-0.1294148,-0.09935558,-0.07061808,0.004902547,-0.0128827,-0.03158353,-0.01597619,-0.003855248,0.05685142,0.0569971,0.09431543,0.2253063,0.3058257,0.2737274,0.0681048,-0.175072,-0.2216357,-0.01668091,0.2480183,0.3619682,0.3210576,0.1235543,-0.09041861,-0.1448253,-0.1439046,-0.2083328,-0.2901446,0
