feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,target_reg,target_class
0,4.101551724137931,173,1,3.4058653444221827,88182,157.16803213402392,19730706.291960828,0,1,0,24,2015,191.99660287634697,2020,0.1,0,174,9,4.76,57.15,engine_ignition
0,4.303505747126437,173,1,-2.2189517874415814,86897,121.80514298026384,15941854.614146538,0,0,0,2,2015,193.54771785747172,2015,0.1,1,174,7,4.26,60.82,engine_ignition
0,4.246379310344827,174,1,-3.740320926927014,44604,175.88916415802953,21276298.946259536,0,0,0,27,2013,177.92202659802163,2019,0.1,1,174,6,5.98,46.51,engine_ignition
0,4.342873563218391,172,1,3.139030957392284,114610,151.65344532368044,22504399.733955275,0,0,0,49,2017,110.16526848065722,2016,0.7,1,174,20,4.42,30.71,gear_stick
1,4.1402873563218385,148,0,-4.022916383366763,114851,159.54738707744642,11634739.066408757,0,0,1,4,2017,190.9159427349584,2020,0.1,0,174,25,4.28,59.18,engine_fuel
0,4.038793103448276,173,1,3.089232697291078,60331,181.87068309639454,9630788.136260187,0,0,0,18,2014,193.83730520037955,2022,0.0,1,174,8,3.26,35.24,electro_bug
0,4.74367816091954,170,1,20.409542431136042,55236,101.43121805333682,15086291.78499257,0,1,0,34,2014,197.0,2017,0.1,0,174,16,6.48,69.75,another_bug
0,3.970977011494253,171,1,-23.697569003151248,59036,180.4130712203501,13731633.952283334,0,0,0,39,2014,187.34023558784008,2015,0.1,1,174,18,2.68,35.58,engine_fuel
0,4.204885057471264,174,1,9.514474497239682,82124,115.71763312458762,14021420.191722492,0,0,0,24,2015,184.51313353411092,2016,0.0,1,174,5,4.26,35.75,electro_bug
0,4.010114942528736,174,1,6.463532173958127,38677,99.18769354211568,12157765.274552431,0,0,0,46,2013,169.06400509404966,2018,0.1,1,174,5,4.28,39.11,engine_fuel
0,3.9929310344827584,174,1,1.6926452291384362,6258,160.064824432961,5463375.947383568,0,0,0,21,2011,168.8058782767598,2015,0.0,1,174,23,3.14,26.64,electro_bug
0,4.134827586206897,172,1,3.202931715268164,65533,124.29175146254113,13413834.540164452,0,0,0,23,2014,193.5753736790148,2016,0.1,1,174,7,4.78,40.57,engine_overheat
1,3.9891379310344828,172,1,-5.073058335425452,130541,123.93671660254228,11425175.099680856,0,0,0,48,2017,164.16226193721528,2020,0.1,0,174,1,5.92,27.81,engine_fuel
0,4.766379310344828,168,1,0.0721744838358471,25098,105.12838935669598,10986690.696407173,0,0,0,39,2012,193.0,2015,0.1,1,174,23,3.14,69.85,another_bug
0,4.494942528735632,171,1,0.5227026283465445,99622,163.236858712293,20533976.2220354,0,0,0,16,2016,168.40081227115644,2015,0.1,1,174,18,4.4,26.24,wheel_shake
0,4.786379310344828,169,1,-10.451544107930417,60285,117.58003824076778,9610715.078245945,1,0,0,39,2014,168.19175476205345,2020,0.3,0,174,11,3.44,58.86,engine_check
0,4.453448275862069,173,1,-6.262443095545644,53235,102.61317778120872,17443338.673317213,0,0,0,35,2013,154.0,2017,0.1,1,174,7,3.94,37.8,engine_check
0,4.082068965517241,174,1,-3.039110982377762,112123,95.8003634963708,13131128.764713742,0,0,0,20,2017,189.10811147067693,2021,0.1,1,174,20,5.22,26.02,engine_overheat
0,4.10551724137931,173,1,-3.250881785911149,19243,196.35270503217842,12573265.740787512,0,0,0,10,2012,185.50880081960668,2014,0.1,1,174,5,4.0,45.08,engine_overheat
1,4.525229885057471,169,1,-0.9541786736534734,43451,165.83978246893605,9777151.99647773,0,0,0,45,2013,113.42079787021832,2020,0.1,0,174,1,5.56,33.94,gear_stick
0,4.002183908045977,171,1,-17.384127470242873,43136,118.60296146394052,14744414.21566929,1,0,0,31,2013,181.876682668727,2016,0.1,0,174,11,3.26,42.16,engine_overheat
0,4.177931034482759,173,1,-0.2058802858932564,57284,148.64846668832487,11440932.139459249,0,0,0,20,2014,192.49849547105205,2021,0.1,1,174,23,5.18,35.14,engine_overheat
0,5.391264367816092,173,1,-10.282540725140652,60084,137.26712330465074,12168376.322567495,0,0,0,43,2014,119.15798030824854,2022,0.1,1,174,17,3.72,24.56,break_bug
0,4.0777586206896554,172,1,-0.026292639162425198,44430,179.24116445437016,13979799.932174258,0,0,0,0,2013,191.0,2018,0.1,1,174,19,3.84,26.93,engine_overheat
